original_text,original_label,generated_text,generated_label
i was feeling on the inside my face broke out really bad i had a rash on my eyelids that left them red and peeling thank you harsh pool chemicals and my mouth was i think experiencing some sort of allergic reaction to something i ate,0,"I’ve been experiencing a significant skin reaction recently. My face broke out quite badly, and I developed a rash on my eyelids that caused them to become red and peeling. I also believe I may have had an allergic reaction to something I ate, and my mouth was affected.",0
i took several deep breaths feeling the cold air burn its way into my lungs and exhaling little clouds of vapor,3,"I took several deep breaths, feeling the cool air gently fill my lungs and releasing small clouds of vapor with each exhale.",1
i am feeling remarkably grumpy not to mention foolish,3,"I’m feeling rather grumpy, and I also realize that might seem a little foolish.",0
i sometimes feel i am being stubborn not out of spite but rather in spite of myself,3,"I occasionally feel like I might be acting stubbornly, and it’s not necessarily due to any ill will, but rather something I’m struggling with internally.",4
i get the feeling that the few kids that i hated senior year are gonna be there,0,I have a feeling that some of the students I didn't enjoy knowing during senior year might be present.,1
i don t really believe because i walked through all the water stops in my first marathon and i actually don t think that walking is bad but dammit i was feeling stubborn and i wanted to get home and needed to be motivated by something,3,"I don’t entirely subscribe to that belief, as I completed all the water stops during my first marathon. I actually don’t think walking is a negative thing, but I was feeling rather stubborn and needed a motivating factor to get home.",3
i want to do is sleep and i feel so bad for the boy,0,"I would really like to sleep, and I feel so sorry for the boy.",0
i asked feeling utterly useless,0,I expressed feeling quite useless.,0
im glad that peter doesnt feel threatened or concerned by my recent interest in decidedly egalitarian almost feminist christian blogs jonalyn finchers a href http soulation,4,"I’m pleased that Peter isn’t feeling threatened or concerned by my recent exploration of egalitarian and, to some extent, feminist Christian blogs, such as those featured in the Jonathan Fincher resource.",4
i truly feel that if you are passionate enough about something and stay true to yourself you will succeed,1,"I genuinely believe that if you are passionate about something and remain true to yourself, you have a strong chance of achieving your goals.",1
im feeling quite agitated irritated amp annoyed,4,"I’m feeling quite agitated, irritated, and annoyed.",3
im not feeling exactly thrilled with standing in front of a mirror if you know what i mean,1,"I must admit, I’m not particularly enjoying looking at myself in the mirror right now, if you understand what I mean.",0
i feel really bothered about the lack of time i get to find inspiration,3,I’ve been finding it a little challenging to dedicate sufficient time to finding inspiration.,1
i feel its a weird turn of events which is marred a bit by a slightly weird prose,5,"I find this a somewhat unusual development, though the writing style is perhaps a little unconventional.",1
i always feel horny nowadays,2,I’ve been experiencing increased sexual feelings recently.,0
i sincerely feel will benefit any relationship whether it is romantic family work or socially oriented,2,"I genuinely believe this could be beneficial for any relationship, whether it’s romantic, familial, professional, or socially oriented.",2
im currently in a phase of feeling very positive and optimistic about graduation though that tends to range on a daily basis between euphoria and deep deep depression so no bets on how ill feel about it tomorrow,1,"I’m currently experiencing a phase of feeling quite positive and optimistic about graduation, although my mood tends to fluctuate daily between euphoria and deep sadness. It’s difficult to predict exactly how I’ll feel about it tomorrow.",1
im feeling generous or in a restaurant like the mandarin grill which has a fairly stellar reputation this impression may be extended to edible yet decorative garnishes like samphire,2,"I’m feeling generous, and when dining at a restaurant like The Mandarin Grill, which has such a strong reputation, I find myself open to appreciating even the edible and decorative garnishes, such as samphire.",1
im feeling very sarcastic today,3,I’m finding myself a bit sarcastic today.,3
i feel those artistic yearnings in my music and i know that if i was to provide for a family and couldnt do so with the gift god has given me it would be very very hard,1,"I express those artistic inclinations within my music, and I recognize that providing for a family, if that were my path, would be a significant challenge, especially considering the gift I believe I’ve been given.",1
i was feeling a bit jaded combination of mixed up feelings not enough sleep and too many big screen presentations i think,0,"I’ve been feeling somewhat drained, a combination of mixed emotions, and lacking sufficient sleep alongside a lot of exposure to large presentations.",0
i feel like its vital to keep this someday list active,1,It would be wonderful to keep this someday list active.,1
i cause extreme worry and distress ground to remember fondly you forever mary prepares to feel unfortunate time eventuallythe intense emotion have sexual lovein condescend to come she by hand puts out strength wu mouth dont let oneself cry out,0,"I deeply regret causing you such worry and distress, and I wish you could remember happier times. Mary will likely feel unfortunate, and eventually, the intense emotion of love will fade. Please don’t let yourself cry out; she gently offers support with her hand, and you should allow yourself to find strength.",0
i just feel gassed and low energy,0,I’m feeling quite fatigued and lacking energy at the moment.,1
i couldnt help feeling charmed and amused,1,I couldn’t help but feel charmed and amused.,1
i feel honored by it,1,I am truly honored by it.,1
i feel i am not that sociable enough thus for friends wise i guess i do not miss most of them,1,"I’ve realized I’m not as sociable as I’d like to be, and when it comes to friendships, I haven’t been maintaining contact with many of them.",1
i really want to go buy some yardage of art gallery just to play with because it feels so amazing,5,I would really like to purchase some yardage of Art Gallery fabric to experiment with; it feels wonderful to work with.,1
i feel romantic feelings in my soul and begging to god make u me ur love me ur feeling me ur soul me i wanna to hear the beat of heart by u for me ever if u wanna so otherwise i am nothing without u,2,"I have such deep romantic feelings for you, and I’m praying for us to be together. I long to feel your love, to be understood by you, and to share my soul with you. I would cherish the simple sound of your heartbeat for us, forever if you feel the same way. Otherwise, I truly wouldn’t be complete without you.",2
i feel caring concern for ron and especially for his wife who i feel very close connections with,2,"I genuinely care for Ron and his wife, with whom I feel a close connection.",1
i was ashamed of my family and i was ashamed of myself for feeling ashamed,0,I felt a sense of shame regarding my family and also a sense of shame about feeling that shame.,0
i do not feel assured,1,I don’t feel entirely confident.,1
i just wanted to read books watch tv and feel miserable,0,"I was simply hoping to spend time reading, watching television, and feeling a bit down.",0
i start to feel ugly unloved poor and unhappy,0,"I’ve been feeling a sense of unattractiveness, loneliness, and unhappiness, and I’ve been struggling with feelings of being unloved and inadequate.",0
i feel pathetic i can t live like this anymore,0,I’m feeling quite disheartened and it’s becoming increasingly difficult to continue as things are.,0
i have a feeling that jeremy is not going to be too keen on the vinegary smell that calli is giving off right now,1,I’m concerned that Jeremy might find Calli’s scent a little strong at the moment.,1
i feel that some violent natures are generic,3,I’ve observed that some depictions of violent characters can feel somewhat commonplace.,3
i also tended to either attract drama or not know how to handle it before people got their feelings hurt or not really know how to prevent or deal with conflict in the groups,0,"I often found myself either drawing in conflict or struggling to navigate it effectively, sometimes leading to hurt feelings or a lack of skills in preventing or resolving disagreements within groups.",0
i could feel his breath on me and smell the sweet scent of him,2,I could sense his breath against me and detect the lovely fragrance of his presence.,2
i came to the place on base because i wasnt feeling like i should wander too far afield but now i wish i had been more adventurous as i have heard wonderful things about those salons,1,"I visited the location on base because I wanted to stay close by, but now I regret not being more adventurous. I’ve heard such wonderful things about the salons there.",1
i hope you all make the time to play along i have a feeling this sketch will be a popular one,1,I hope you’ll all find the time to join in. I have a feeling this sketch will be quite popular.,1
i guess i m a sucker for the grand and endless battle between apparent good and apparent evil and i m no different than anyone else who feels they have the divine gift of discernment in situations like this,1,"I find myself drawn to the sweeping and timeless conflict between what appears to be good and what appears to be evil, and I’m no different than anyone else who feels they possess a special ability to understand these kinds of situations.",1
im with you i feel like were always entertained simply because were content just being with each other,1,I completely agree. It feels wonderful to be with you; we’re always so pleasantly entertained just by being together.,1
i know i would feel weird about that and probably act strangely for a few days,5,"I understand that might feel a little unusual, and I likely would act a bit differently for a short time.",0
i met up with some friends to watch the hockey game and headed off to a local pub called pig and duke ate some parmesan truffle wings not sure how i feel about those and some prawn lollipops delicious but terrible name,1,"I enjoyed meeting up with friends to watch the hockey game. We went to a local pub called Pig & Duke, where I had parmesan truffle wings and prawn lollipops – the lollipops were delicious, though the name was a bit unusual.",1
i hope that you are all feeling festive and keeping warm,1,I hope you’re all feeling festive and staying warm.,1
i can t understand why you keep hiding your feelings when he s so fond of you,2,"I’m finding it a little puzzling that you tend to keep your feelings hidden, especially since he seems to care about you so much.",1
i ached so bad the bones in my toes hurt to walk and i swear i could feel my liver aching,0,"I was experiencing such intense pain, with a sharp ache in my toes that made it difficult to walk, and I truly felt a significant ache in my abdomen.",1
i lived off lemon bars for a few weeks and then this weekend ate and ate and ate and it was all horrible food and now i feel and look and am horrible,0,"I enjoyed eating lemon bars for a few weeks, and this weekend I indulged quite a bit, consuming some less-than-ideal food. As a result, I’m feeling and looking quite unwell, and I’m disappointed with how I’m feeling.",0
i feel so scared for him,4,I’m very worried about him.,0
