text,label
i was feeling on the inside my face broke out really bad i had a rash on my eyelids that left them red and peeling thank you harsh pool chemicals and my mouth was i think experiencing some sort of allergic reaction to something i ate,0
i took several deep breaths feeling the cold air burn its way into my lungs and exhaling little clouds of vapor,3
i am feeling remarkably grumpy not to mention foolish,3
i sometimes feel i am being stubborn not out of spite but rather in spite of myself,3
i get the feeling that the few kids that i hated senior year are gonna be there,0
i don t really believe because i walked through all the water stops in my first marathon and i actually don t think that walking is bad but dammit i was feeling stubborn and i wanted to get home and needed to be motivated by something,3
i want to do is sleep and i feel so bad for the boy,0
i asked feeling utterly useless,0
im glad that peter doesnt feel threatened or concerned by my recent interest in decidedly egalitarian almost feminist christian blogs jonalyn finchers a href http soulation,4
i truly feel that if you are passionate enough about something and stay true to yourself you will succeed,1
im feeling quite agitated irritated amp annoyed,4
im not feeling exactly thrilled with standing in front of a mirror if you know what i mean,1
i feel really bothered about the lack of time i get to find inspiration,3
i feel its a weird turn of events which is marred a bit by a slightly weird prose,5
i always feel horny nowadays,2
i sincerely feel will benefit any relationship whether it is romantic family work or socially oriented,2
im currently in a phase of feeling very positive and optimistic about graduation though that tends to range on a daily basis between euphoria and deep deep depression so no bets on how ill feel about it tomorrow,1
im feeling generous or in a restaurant like the mandarin grill which has a fairly stellar reputation this impression may be extended to edible yet decorative garnishes like samphire,2
im feeling very sarcastic today,3
i feel those artistic yearnings in my music and i know that if i was to provide for a family and couldnt do so with the gift god has given me it would be very very hard,1
i was feeling a bit jaded combination of mixed up feelings not enough sleep and too many big screen presentations i think,0
i feel like its vital to keep this someday list active,1
i cause extreme worry and distress ground to remember fondly you forever mary prepares to feel unfortunate time eventuallythe intense emotion have sexual lovein condescend to come she by hand puts out strength wu mouth dont let oneself cry out,0
i just feel gassed and low energy,0
i couldnt help feeling charmed and amused,1
i feel honored by it,1
i feel i am not that sociable enough thus for friends wise i guess i do not miss most of them,1
i really want to go buy some yardage of art gallery just to play with because it feels so amazing,5
i feel romantic feelings in my soul and begging to god make u me ur love me ur feeling me ur soul me i wanna to hear the beat of heart by u for me ever if u wanna so otherwise i am nothing without u,2
i feel caring concern for ron and especially for his wife who i feel very close connections with,2
i was ashamed of my family and i was ashamed of myself for feeling ashamed,0
i do not feel assured,1
i just wanted to read books watch tv and feel miserable,0
i start to feel ugly unloved poor and unhappy,0
i feel pathetic i can t live like this anymore,0
i have a feeling that jeremy is not going to be too keen on the vinegary smell that calli is giving off right now,1
i feel that some violent natures are generic,3
i also tended to either attract drama or not know how to handle it before people got their feelings hurt or not really know how to prevent or deal with conflict in the groups,0
i could feel his breath on me and smell the sweet scent of him,2
i came to the place on base because i wasnt feeling like i should wander too far afield but now i wish i had been more adventurous as i have heard wonderful things about those salons,1
i hope you all make the time to play along i have a feeling this sketch will be a popular one,1
